Sample.ID,Source,State,Appearance,Form,Colour,Mislabelled
S1,SushiBar,Raw,Plain,Fillet,Light,0
S2,SushiBar,Raw,Plain,Fillet,Red,0
S3,SushiBar,Raw,Plain,Fillet,Light,0
S4,SushiBar,Raw,Plain,Fillet,Light,0
S5,SushiBar,Raw,Plain,Fillet,Red,0
S6,SushiBar,Raw,Plain,Fillet,Light,0
S7,SushiBar,Raw,Plain,Fillet,Light,0
S8,SushiBar,Raw,Plain,Fillet,Red,0
S9,SushiBar,Raw,Plain,Fillet,Red,0
S11,SushiBar,Raw,Modified,Fillet,Light,0
S12,SushiBar,Raw,Plain,Fillet,Light,1
S13,SushiBar,Raw,Plain,Fillet,Light,0
S14,SushiBar,Raw,Plain,Fillet,Red,0
S15,SushiBar,Raw,Plain,Fillet,Light,0
S16,SushiBar,Raw,Plain,Fillet,Light,0
S17,SushiBar,Raw,Plain,Fillet,Red,0
S18,SushiBar,Raw,Plain,Fillet,Light,0
S19,SushiBar,Raw,Plain,Fillet,Light,0
S20,SushiBar,Raw,Plain,Fillet,Light,1
S21,SushiBar,Raw,Plain,Fillet,Red,0
S22,SushiBar,Raw,Plain,Fillet,Light,0
S23,SushiBar,Raw,Modified,Fillet,Light,0
S24,SushiBar,Raw,Plain,Fillet,Red,0
S25,SushiBar,Raw,Plain,Fillet,Red,1
S26,SushiBar,Raw,Modified,Fillet,Light,0
S27,SushiBar,Raw,Plain,Fillet,Light,0
S28,SushiBar,Raw,Plain,Fillet,Red,0
S29,SushiBar,Raw,Plain,Fillet,Light,0
S30,SushiBar,Raw,Plain,Fillet,Red,0
S31,SushiBar,Raw,Modified,Fillet,Light,0
S32,SushiBar,Raw,Plain,Fillet,Red,0
S33,SushiBar,Raw,Plain,Fillet,Light,0
S34,SushiBar,Raw,Modified,Fillet,Light,0
S35,SushiBar,Raw,Plain,Fillet,Light,0
S36,SushiBar,Raw,Modified,Fillet,Light,0
S37,SushiBar,Raw,Plain,Fillet,Red,0
S38,SushiBar,Raw,Plain,Fillet,Red,0
S39,SushiBar,Raw,Modified,Fillet,Light,0
S40,SushiBar,Raw,Plain,Fillet,Light,0
S41,SushiBar,Raw,Plain,Fillet,Red,0
S42,SushiBar,Raw,Modified,Fillet,Light,0
S43,SushiBar,Raw,Plain,Fillet,Light,0
S44,SushiBar,Raw,Plain,Fillet,Light,0
S45,SushiBar,Raw,Plain,Fillet,Light,1
S46,SushiBar,Raw,Modified,Fillet,Light,0
S47,SushiBar,Raw,Plain,Fillet,Red,0
S48,SushiBar,Raw,Plain,Fillet,Light,0
S49,SushiBar,Raw,Plain,Fillet,Light,1
S50,SushiBar,Raw,Modified,Fillet,Light,0
S51,SushiBar,Raw,Plain,Fillet,Red,0
S52,SushiBar,Raw,Plain,Fillet,Light,0
S53,SushiBar,Raw,Plain,Fillet,Light,0
S54,SushiBar,Raw,Plain,Fillet,Red,0
S55,SushiBar,Raw,Modified,Fillet,Light,0
S56,SushiBar,Raw,Plain,Fillet,Light,1
S57,SushiBar,Raw,Plain,Fillet,Light,0
S58,SushiBar,Raw,Plain,Fillet,Red,0
S59,SushiBar,Raw,Modified,Fillet,Light,0
S60,SushiBar,Raw,Plain,Fillet,Light,1
S61,SushiBar,Raw,Plain,Fillet,Light,0
S62,SushiBar,Raw,Plain,Fillet,Red,0
S63,SushiBar,Raw,Modified,Fillet,Light,0
S64,SushiBar,Raw,Plain,Fillet,Light,0
S65,SushiBar,Raw,Plain,Fillet,Red,0
S66,SushiBar,Raw,Modified,Fillet,Light,0
S67,SushiBar,Raw,Plain,Fillet,Light,1
S68,SushiBar,Raw,Plain,Fillet,Light,0
S69,SushiBar,Raw,Plain,Fillet,Light,1
S70,SushiBar,Raw,Plain,Fillet,Red,0
S71,SushiBar,Raw,Plain,Fillet,Light,1
S72,SushiBar,Raw,Plain,Fillet,Light,0
S73,SushiBar,Raw,Plain,Fillet,Light,1
S74,SushiBar,Raw,Plain,Fillet,Light,1
S75,SushiBar,Raw,Plain,Fillet,Red,0
S76,SushiBar,Raw,Plain,Fillet,Light,1
S77,SushiBar,Raw,Plain,Fillet,Red,0
S78,SushiBar,Raw,Plain,Fillet,Light,1
S79,SushiBar,Raw,Plain,Fillet,Red,0
S80,SushiBar,Raw,Plain,Fillet,Light,1
S81,SushiBar,Raw,Plain,Fillet,Light,1
S82,SushiBar,Raw,Plain,Fillet,Red,0
S83,SushiBar,Raw,Plain,Fillet,Light,1
S87,SushiBar,Raw,Plain,Fillet,Red,0
S88,SushiBar,Raw,Plain,Fillet,Red,0
S89,SushiBar,Raw,Plain,Fillet,Red,0
S90,SushiBar,Raw,Plain,Fillet,Light,0
S91,SushiBar,Raw,Plain,Fillet,Light,0
S92,SushiBar,Raw,Plain,Fillet,Light,0
S93,SushiBar,Raw,Plain,Fillet,Red,0
S94,SushiBar,Raw,Plain,Fillet,Red,0
S95,SushiBar,Raw,Plain,Fillet,Light,1
S96,SushiBar,Raw,Plain,Fillet,Light,1
S97,SushiBar,Raw,Plain,Fillet,Light,0
S98,SushiBar,Raw,Plain,Fillet,Red,0
S99,SushiBar,Raw,Plain,Fillet,Light,1
S100,SushiBar,Raw,Plain,Fillet,Red,0
S102,SushiBar,Raw,Plain,Fillet,Light,1
S103,SushiBar,Raw,Plain,Fillet,Red,0
S104,SushiBar,Raw,Plain,Fillet,Light,1
S105,SushiBar,Raw,Plain,Fillet,Light,0
S106,SushiBar,Raw,Plain,Fillet,Light,0
S107,SushiBar,Raw,Plain,Fillet,Red,0
S108,SushiBar,Raw,Plain,Fillet,Red,0
S109,SushiBar,Raw,Plain,Fillet,Light,1
S110,SushiBar,Raw,Plain,Fillet,Red,0
S111,SushiBar,Raw,Plain,Fillet,Light,1
S112,SushiBar,Cooked,Modified,Fillet,Light,0
R1,Restaurant,Cooked,Modified,Fillet,Light,0
R3,Restaurant,Raw,Plain,Fillet,Red,0
R4,Restaurant,Cooked,Modified,Fillet,Light,0
R5,Restaurant,Cooked,Modified,Fillet,Light,0
R6,Restaurant,Cooked,Modified,Fillet,Light,1
R7,Restaurant,Cooked,Modified,Fillet,Light,0
R8,Restaurant,Cooked,Modified,Fillet,Red,0
R9,Restaurant,Cooked,Modified,Chunk,Light,0
R10,Restaurant,Cooked,Modified,Fillet,Light,0
R11,Restaurant,Cooked,Modified,Fillet,Light,1
R12,Restaurant,Cooked,Modified,Fillet,Light,0
R13,Restaurant,Cooked,Modified,Fillet,Red,0
R14,Restaurant,Cooked,Modified,Fillet,Light,0
R15,Restaurant,Cooked,Modified,Fillet,Red,0
R16,Restaurant,Cooked,Modified,Fillet,Light,0
R17,Restaurant,Cooked,Modified,Chunk,Light,1
R18,Restaurant,Raw,Modified,Chunk,Red,0
R19,Restaurant,Cooked,Modified,Fillet,Red,0
R20,Restaurant,Cooked,Modified,Fillet,Light,1
R21,Restaurant,Cooked,Modified,Fillet,Red,1
R22,Restaurant,Cooked,Modified,Fillet,Light,0
R23,Restaurant,Cooked,Modified,Fillet,Red,1
R24,Restaurant,Cooked,Modified,Fillet,Red,0
R25,Restaurant,Cooked,Modified,Fillet,Light,1
R26,Restaurant,Cooked,Modified,Fillet,Light,0
R27,Restaurant,Cooked,Modified,Fillet,Light,0
R28,Restaurant,Raw,Modified,Fillet,Red,0
R29,Restaurant,Cooked,Modified,Chunk,Light,0
R30,Restaurant,Cooked,Modified,Fillet,Light,1
R31,Restaurant,Raw,Modified,Fillet,Red,0
R32,Restaurant,Cooked,Modified,Chunk,Light,0
R33,Restaurant,Cooked,Modified,Fillet,Light,0
R34,Restaurant,Cooked,Modified,Fillet,Light,0
R35,Restaurant,Cooked,Modified,Fillet,Light,1
R36,Restaurant,Cooked,Modified,Fillet,Red,0
R37,Restaurant,Cooked,Modified,Chunk,Light,0
R38,Restaurant,Cooked,Modified,Fillet,Light,0
R39,Restaurant,Cooked,Modified,Fillet,Red,0
R40,Restaurant,Cooked,Modified,Fillet,Light,0
R41,Restaurant,Raw,Modified,Fillet,Red,0
R42,Restaurant,Raw,Modified,Fillet,Red,1
R43,Restaurant,Raw,Modified,Fillet,Light,0
R44,Restaurant,Cooked,Modified,Fillet,Light,1
R45,Restaurant,Cooked,Modified,Fillet,Light,1
R46,Restaurant,Cooked,Modified,Fillet,Light,1
R47,Restaurant,Cooked,Modified,Fillet,Light,1
R48,Restaurant,Cooked,Modified,Fillet,Light,0
R49,Restaurant,Cooked,Modified,Fillet,Light,1
R50,Restaurant,Cooked,Modified,Fillet,Light,1
R52,Restaurant,Cooked,Modified,Fillet,Light,1
R53,Restaurant,Cooked,Modified,Fillet,Light,1
R55,Restaurant,Raw,Modified,Chunk,Red,0
R56,Restaurant,Raw,Modified,Chunk,Red,0
R57,Restaurant,Cooked,Modified,Fillet,Red,0
R61,Restaurant,Cooked,Modified,Fillet,Light,0
R62,Restaurant,Cooked,Modified,Fillet,Red,0
R63,Restaurant,Cooked,Modified,Fillet,Light,0
R64,Restaurant,Cooked,Modified,Fillet,Red,0
R65,Restaurant,Cooked,Modified,Fillet,Light,0
R66,Restaurant,Raw,Modified,Chunk,Red,0
R67,Restaurant,Cooked,Modified,Fillet,Light,0
R68,Restaurant,Cooked,Modified,Fillet,Light,0
R69,Restaurant,Cooked,Modified,Fillet,Light,0
