Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2021FFI-0000008142-4,Imports - Importation,QC,"BASS, SEA",DICENTRARCHUS LABRAX,GREECE,ND-AD,2021,0
2021FFI-0000008142-5,Imports - Importation,ON,"BASS, SEA",DICENTRARCHUS LABRAX,TURKEY,ND-AD,2021,0
2021FFI-0000008142-6,Retail - Vente au détail,BC,BLUEFIN TUNA,Not Declared - Non déclarée,JAPAN,S,2021,0
2021FFI-0000008142-7,Domestic - Domestique,QC,"CHAR, ARCTIC",SALVELINUS ALPINUS,CANADA,S,2021,0
2021FFI-0000008142-8,Domestic - Domestique,NB,"CHAR, ARCTIC",SALVELINUS ALPINUS,CANADA,S,2021,0
2021FFI-0000008142-9,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-10,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-11,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-12,Domestic - Domestique,NS,COD,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-13,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-14,Retail - Vente au détail,QC,COD,GADUS MORHUA,CANADA,S,2021,0
2021FFI-0000008142-15,Retail - Vente au détail,QC,COD,GADUS MORHUA,CANADA,S,2021,0
2021FFI-0000008142-16,Imports - Importation,NS,COD,Not Declared - Non déclarée,CHINA,S,2021,0
2021FFI-0000008142-17,Imports - Importation,NS,COD,Not Declared - Non déclarée,CHINA,S,2021,0
2021FFI-0000008142-18,Retail - Vente au détail,QC,COD,GADUS MORHUA,CHINA,S,2021,0
2021FFI-0000008142-19,Retail - Vente au détail,QC,COD,Not Declared - Non déclarée,ICELAND,S,2021,0
2021FFI-0000008142-20,Imports - Importation,NS,COD,Not Declared - Non déclarée,UNITED STATES,S,2021,0
2021FFI-0000008142-21,Retail - Vente au détail,QC,COD,GADIDAE,UNITED STATES,S,2021,0
2021FFI-0000008142-22,Domestic - Domestique,ON,"COD, ATLANTIC",GADUS MORHUA,CANADA,S,2021,0
2021FFI-0000008142-23,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,CHINA,S,2021,0
2021FFI-0000008142-24,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,CHINA,S,2021,0
2021FFI-0000008142-25,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,CHINA,S,2021,0
2021FFI-0000008142-26,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,CHINA,S,2021,0
2021FFI-0000008142-27,Retail - Vente au détail,ON,"COD, ATLANTIC",GADUS MORHUA,ICELAND,S,2021,0
2021FFI-0000008142-28,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,ICELAND,S,2021,0
2021FFI-0000008142-29,Imports - Importation,QC,"COD, ATLANTIC",GADUS MORHUA,PORTUGAL,S,2021,0
2021FFI-0000008142-30,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,PORTUGAL,S,2021,0
2021FFI-0000008142-31,Imports - Importation,ON,"COD, ATLANTIC",GADUS MORHUA,UNITED STATES,U-I,2021,1
2021FFI-0000008142-32,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,ICELAND,ND-AD,2021,0
2021FFI-0000008142-33,Domestic - Domestique,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,CANADA,S,2021,0
2021FFI-0000008142-34,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,CANADA,S,2021,0
2021FFI-0000008142-35,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,CANADA,S,2021,0
2021FFI-0000008142-36,Retail - Vente au détail,BC,"COD, PACIFIC", GADUS MACROCEPHALUS,CANADA,S,2021,0
2021FFI-0000008142-37,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,CANADA,ND-AD,2021,0
2021FFI-0000008142-38,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,CHINA,S,2021,0
2021FFI-0000008142-39,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,CHINA,S,2021,0
2021FFI-0000008142-40,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,CHINA,S,2021,0
2021FFI-0000008142-41,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,CHINA,S,2021,0
2021FFI-0000008142-42,Imports - Importation,NS,"COD, PACIFIC",GADUS MACROCEPHALUS,CHINA,S,2021,0
2021FFI-0000008142-43,Retail - Vente au détail,PE,"COD, PACIFIC",Not Declared - Non déclarée,CHINA,S,2021,0
2021FFI-0000008142-44,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,UNITED STATES,S,2021,0
2021FFI-0000008142-45,Imports - Importation,ON,"COD, PACIFIC",GADUS MACROCEPHALUS,UNITED STATES,S,2021,0
2021FFI-0000008142-46,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,UNITED STATES,S,2021,0
2021FFI-0000008142-47,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,UNITED STATES,ND-AD,2021,0
2021FFI-0000008142-48,Retail - Vente au détail,QC,"COD, PACIFIC",GADUS MACROCEPHALUS,UNITED STATES,S,2021,0
2021FFI-0000008142-49,Retail - Vente au détail,BC,DOVER SOLE,Not Declared - Non déclarée,CANADA,S,2021,0
2021FFI-0000008142-50,Retail - Vente au détail,AB,ESCOLAR,Not Declared - Non déclarée,TAIWAN,S,2021,0
2021FFI-0000008142-51,Retail - Vente au détail,BC,WILD PACIFIC SNAPPER,Not Declared - Non déclarée,CANADA,U-I,2021,1
2021FFI-0000008142-52,Retail - Vente au détail,BC,SABLEFISH,Not Declared - Non déclarée,CANADA,S,2021,0
